************************************************************************											
Output	generated	by	CrystalDiffract	6	for	Windows					
Copyright	(c)	1996-2017	CrystalMaker	Software	Limited	(crystalmaker.com)					
************************************************************************											
											
This	file	looks	best	in	a	non-proportional	font		e.g.	Courier	
											
	h	k	l	d(hkl)	2-Theta	Intensity	I/Imax		m	N	Lp
											
	1	1	1	3.95408	22.466	4.44E+01	0.027	2.7	2	3	12.453
	0	0	1	3.73634	23.7938	2.56E+02	0.157	15.7	6	1	11.045
	0	1	1	3.27997	27.1637	1.62E+03	1	100	6	2	8.355
	1	1	2	2.36868	37.9531	4.86E+02	0.299	29.9	6	6	4.055
	0	1	-1	2.27287	39.6184	6.83E+02	0.421	42.1	6	2	3.687
	1	2	2	2.03198	44.5514	2.82E-01	0	0	6	9	2.835
	2	2	2	1.97704	45.859	4.95E+01	0.03	3	2	12	2.656
	0	1	2	1.97052	46.0194	4.20E+01	0.026	2.6	12	5	2.635
	1	-1	1	1.94181	46.7399	4.42E+01	0.027	2.7	6	3	2.544
	0	0	2	1.86817	48.6991	3.45E+02	0.212	21.2	6	4	2.317
	0	2	2	1.63999	56.0256	1.62E+02	0.1	10	6	8	1.685
	2	2	3	1.55652	59.3202	1.10E+01	0.007	0.7	6	17	1.481
	1	1	3	1.51486	61.1231	1.13E-01	0	0	6	11	1.385
	1	2	3	1.49168	62.1774	1.23E+02	0.076	7.6	12	14	1.333
	0	1	-2	1.47637	62.8952	3.74E+01	0.023	2.3	12	5	1.3
	1	-1	2	1.44322	64.512	3.04E+02	0.187	18.7	12	6	1.23
	2	3	3	1.38761	67.4338	1.42E+01	0.009	0.9	6	22	1.119
	0	1	3	1.32993	70.784	1.65E+02	0.102	10.2	12	10	1.013
	3	3	3	1.31803	71.5208	1.02E+01	0.006	0.6	2	27	0.993
	1	1	-2	1.31224	71.885	1.25E+02	0.077	7.7	6	6	0.983
	1	3	3	1.28424	73.7071	5.91E+00	0.004	0.4	6	19	0.937
	0	2	3	1.26054	75.3308	1.26E-01	0	0	12	13	0.9
	-1	2	2	1.24545	76.4065	4.95E+00	0.003	0.3	6	9	0.878
	0	0	3	1.24545	76.4065	4.95E+00	0.003	0.3	6	9	0.878
	2	2	4	1.18434	81.1378	8.75E+00	0.005	0.5	6	24	0.797
	2	3	4	1.14018	84.9935	4.02E+01	0.025	2.5	12	29	0.749
	0	2	-2	1.13643	85.3406	8.27E+01	0.051	5.1	6	8	0.745
	3	3	4	1.13578	85.4012	2.02E-01	0	0	6	34	0.744
	1	2	4	1.1181	87.0849	8.05E+00	0.005	0.5	12	21	0.729
	1	1	4	1.09332	89.5788	2.47E+01	0.015	1.5	6	18	0.71
	0	3	3	1.09332	89.5788	2.47E+01	0.015	1.5	6	18	0.71
	1	-1	3	1.09222	89.6941	7.04E+00	0.004	0.4	12	11	0.709
	1	2	-2	1.08725	90.2156	1.53E+01	0.009	0.9	12	9	0.706
	0	1	-3	1.07381	91.6653	1.31E+02	0.081	8.1	12	10	0.698
	1	3	4	1.0503	94.3376	1.34E+01	0.008	0.8	12	26	0.688
	3	4	4	1.04007	95.5611	3.72E+01	0.023	2.3	6	41	0.685
	-1	2	3	1.02461	97.4842	8.62E+01	0.053	5.3	12	14	0.682
	2	4	4	1.01599	98.5988	1.65E-01	0	0	6	36	0.682
	0	1	4	0.99185	101.8966	7.54E-02	0	0	12	17	0.686
	4	4	4	0.98852	102.374	5.91E-01	0	0	2	48	0.687
	0	2	4	0.98526	102.8465	4.29E+01	0.026	2.6	12	20	0.688
	1	1	-3	0.98081	103.5006	6.72E+00	0.004	0.4	6	11	0.69
	2	2	-2	0.9709	104.9961	5.87E+01	0.036	3.6	6	12	0.696
	0	0	4	0.93408	111.0968	4.19E+01	0.026	2.6	6	16	0.734
	1	4	4	0.92993	111.8461	1.60E+01	0.01	1	6	33	0.74
	0	3	4	0.91783	114.1124	6.80E+00	0.004	0.4	12	25	0.762
	-1	3	3	0.90906	115.8386	3.89E-02	0	0	6	19	0.78
	0	2	-3	0.90054	117.5904	1.42E+01	0.009	0.9	12	13	0.801
	1	-2	3	0.89285	119.2384	1.26E+02	0.078	7.8	12	14	0.823
	1	-1	4	0.86397	126.1312	9.75E+01	0.06	6	12	18	0.936
	1	2	-3	0.85906	127.4337	1.57E+02	0.097	9.7	12	14	0.962
	-1	2	4	0.84405	131.723	9.67E-02	0	0	12	21	1.059
	2	-2	3	0.83948	133.1363	8.10E+00	0.005	0.5	12	17	1.096
	0	1	-4	0.83948	133.1363	8.10E+00	0.005	0.5	12	17	1.096
	0	4	4	0.81999	139.8811	9.60E+00	0.006	0.6	6	32	1.309
	-1	3	4	0.7879	155.7017	1.09E+02	0.067	6.7	12	26	2.275
	2	2	-3	0.78562	157.299	1.83E+01	0.011	1.1	6	17	2.446
	1	1	-4	0.7805	161.4109	1.96E+02	0.121	12.1	6	18	3.017
